"pedido_codigo","pedido_id","data_hora","origem","situacao","situacao_descricao","valor_total_pedido","rastreio_id","produto_id","produto_nome","produto_titulo","codigo_pai","derivacao_id","derivacao_codigo","derivacao_nome","categoria_id","categoria","quantidade","valor_unitario","valor_desconto","valor_item","valor_frete","link_produto"
"0012506030452","4336","2025-06-15 17:02:49-03","1","8","Entregue","753.46","4336","729","Calça Feminina Boot Cut Paty","Calça Feminina Boot Cut Paty","1914","3797","191434","34","8","Calça","1","257.7","12.88","244.82","0","calca-feminina-boot-cut-paty"
"0012506030452","4336","2025-06-15 17:02:49-03","1","8","Entregue","753.46","4336","942","Casaco Feminino Soft Luma","Casaco Feminino Soft Luma","2096","4582","2096P","P","45","Lançamentos","1","257.7","12.88","244.82","0","casaco-feminino-soft-luma"
"0012506030452","4336","2025-06-15 17:02:49-03","1","8","Entregue","753.46","4336","922","Calça Feminina Skinny Délavé Pampa","Calça Feminina Skinny Délavé Pampa","2081","4508","208134","34","8","Calça","1","277.7","13.88","263.82","0","calca-feminina-skinny-delave-pampa"
"0012506439272","4337","2025-06-15 19:48:13-03","1","8","Entregue","244.82","4337","942","Casaco Feminino Soft Luma","Casaco Feminino Soft Luma","2096","4579","2096GG","GG","45","Lançamentos","1","257.7","12.88","244.82","0","casaco-feminino-soft-luma"
"0012506574800","4338","2025-06-16 15:16:21-03","3","8","Entregue","0","4338","918","Cropped Feminino Marina","Cropped Feminino Marina","2077","4484","2077G","G","6","Manga curta","1","167.7","0","167.7","0","cropped-feminino-marina"
"0012506574800","4338","2025-06-16 15:16:21-03","3","8","Entregue","0","4338","919","Saia Feminina Longa Marina","Saia Feminina Longa Marina","2078","4489","2078G","G","9","Saia","1","267.7","0","267.7","0","saia-feminina-longa-marina"
"0012506078311","4339","2025-06-16 18:59:35-03","1","8","Entregue","244.82","4339","942","Casaco Feminino Soft Luma","Casaco Feminino Soft Luma","2096","4581","2096M","M","45","Lançamentos","1","257.7","12.88","244.82","0","casaco-feminino-soft-luma"
"0012506568137","4340","2025-06-17 16:05:36-03","3","8","Entregue","0","4340","845","Camisete Feminina Roseli","Camisete Feminina Roseli","1980","4221","1980GG","GG","45","Lançamentos","1","267.7","0","267.7","0","camisete-feminina-roseli"
"0012506568137","4340","2025-06-17 16:05:36-03","3","8","Entregue","0","4340","719","Camisete Feminina Teodora","Camisete Feminina Teodora","1906","3737","1906GG","GG","39","Outlet","1","155.4","0","155.4","0","camisete-feminina-teodora"
"0012506929435","4341","2025-06-19 10:33:40-03","1","8","Entregue","492.66","4341","694","Jaqueta Feminina Bomber Angélica","Jaqueta Feminina Bomber Angélica","1878","3599","1878GG","GG","39","Outlet","1","199.8","19.98","179.82","0","jaqueta-feminina-bomber-angelica"
"0012506929435","4341","2025-06-19 10:33:40-03","1","8","Entregue","492.66","4341","44","Calça Feminina Boot Cut Pandora","Calça Feminina Boot Cut Pandora","1406","77","140642","42","39","Outlet","1","199.9","19.99","179.91","0","calca-feminina-boot-cut-pandora"
"0012506929435","4341","2025-06-19 10:33:40-03","1","8","Entregue","492.66","4341","873","Blusa Feminina Angélica","Blusa Feminina Angélica","2058","4336","2058M","M","45","Lançamentos","1","147.7","14.77","132.93","0","blusa-feminina-angelica"
"0012506596806","4342","2025-06-20 12:03:55-03","1","8","Entregue","231.93","4342","942","Casaco Feminino Soft Luma","Casaco Feminino Soft Luma","2096","4579","2096GG","GG","45","Lançamentos","1","257.7","25.77","231.93","0","casaco-feminino-soft-luma"
"0012506523643","4343","2025-06-21 16:04:04-03","1","2","Cancelado","199.41","4343","292","Calça Feminina Montaria Alice","Calça Feminina Montaria Alice","1537","1410","1537GG","GG","46","Mais Vendidos","1","209.9","10.49","199.41","0","calca-feminina-montaria-alice"
"0012506973797","4344","2025-06-21 16:20:48-03","3","8","Entregue","696.46","4344","763","Chemise Feminina Bridão","Chemise Feminina Bridão","1944","3945","1944G","G","16","Camisete","1","267.7","13.38","254.32","0","chemise-feminina-bridao-1944"
"0012506973797","4344","2025-06-21 16:20:48-03","3","8","Entregue","696.46","4344","244","Camisete Feminina Gateado","Camisete Feminina Gateado","1498","1246","1498G","G","46","Mais Vendidos","1","247.7","12.38","235.32","0","camisete-feminina-gateado"
"0012506973797","4344","2025-06-21 16:20:48-03","3","8","Entregue","696.46","4344","167","Calça Skinny Feminina Carrossel","Calça Skinny Feminina Carrossel","1151","670","115142","42","8","Calça","1","217.7","10.88","206.82","0","calca-skinny-feminina-carrossel"
"0012506818916","4345","2025-06-22 22:25:15-03","1","8","Entregue","1064.7","4345","44","Calça Feminina Boot Cut Pandora","Calça Feminina Boot Cut Pandora","1406","77","140642","42","39","Outlet","1","199.9","0","199.9","0","calca-feminina-boot-cut-pandora"
"0012506818916","4345","2025-06-22 22:25:15-03","1","8","Entregue","1064.7","4345","604","Regata Feminina Amália","Regata Feminina Amália","1802","3092","1802G","G","39","Outlet","1","79.8","0","79.8","0","regata-feminina-amalia"
"0012506818916","4345","2025-06-22 22:25:15-03","1","8","Entregue","1064.7","4345","376","Calça Skinny Feminina Potros","Calça Skinny Feminina  Potros","1527","1910","152742","42","8","Calça","1","227.7","0","227.7","0","calca-skinny-feminina-potros"
"0012506818916","4345","2025-06-22 22:25:15-03","1","8","Entregue","1064.7","4345","955","Casaco Soft Meio Zíper Alana","Casaco Soft Meio Zíper Alana","2112","4611","2112G","G","45","Lançamentos","1","257.7","0","257.7","0","casaco-soft-meio-ziper-alana"
"0012506818916","4345","2025-06-22 22:25:15-03","1","8","Entregue","1064.7","4345","406","Conjunto Feminino  Corta Vento Maya","Conjunto Feminino Corta Vento Maya","1632","2077","1632LILAS","LILAS - GG","39","Outlet","1","99.8","0","99.8","0","bomber-corta-vento-feminino-maya"
"0012506818916","4345","2025-06-22 22:25:15-03","1","8","Entregue","1064.7","4345","694","Jaqueta Feminina Bomber Angélica","Jaqueta Feminina Bomber Angélica","1878","3596","1878P","P","39","Outlet","1","199.8","0","199.8","0","jaqueta-feminina-bomber-angelica"
"0012506608891","4346","2025-06-22 22:46:02-03","1","8","Entregue","287.5","4346","665","Vestido Feminino Lavínia","Vestido Feminino Lavínia","1861","3433","1861G","G","39","Outlet","1","199.8","0","199.8","0","vestido-feminino-lavinia"
"0012506608891","4346","2025-06-22 22:46:02-03","1","8","Entregue","287.5","4346","709","Blusa Feminina Sofhia","Blusa Feminina Sofhia","1874","3688","1874GG","GG","39","Outlet","1","87.7","0","87.7","0","blusa-feminina-sofhia"
"0012506714823","4347","2025-06-23 09:55:47-03","3","8","Entregue","0","4347","763","Chemise Feminina Bridão","Chemise Feminina Bridão","1944","3947","1944P","P","16","Camisete","1","267.7","13.38","254.32","0","chemise-feminina-bridao-1944"
"0012506716821","4348","2025-06-24 10:42:33-03","3","8","Entregue","0","4348","417","Jaqueta Feminina  Beatrix","Jaqueta Feminina Beatrix","1621","2137","1621G","G","39","Outlet","1","99.8","0","99.8","18.16","jaqueta-feminina-breatrix"
"0012506062497","4349","2025-06-24 14:49:17-03","1","8","Entregue","257.7","4349","942","Casaco Feminino Soft Luma","Casaco Feminino Soft Luma","2096","4579","2096GG","GG","45","Lançamentos","1","257.7","0","257.7","0","casaco-feminino-soft-luma"
"0012506282694","4350","2025-06-25 16:20:23-03","3","8","Entregue","0","4350","531","Chemise Feminina Bridão","Chemise Feminina Bridão","1752","2669","1752GG","GG","46","Mais Vendidos","1","267.7","13.38","254.32","0","chemise-feminina-bridao"
"0012506189959","4351","2025-06-27 09:18:25-03","1","7","Transporte","481.86","4351","922","Calça Feminina Skinny Délavé Pampa","Calça Feminina Skinny Délavé Pampa","2081","4504","208142","42","8","Calça","1","277.7","27.77","249.93","0","calca-feminina-skinny-delave-pampa"
"0012506189959","4351","2025-06-27 09:18:25-03","1","7","Transporte","481.86","4351","729","Calça Feminina Boot Cut Paty","Calça Feminina Boot Cut Paty","1914","3793","191442","42","8","Calça","1","257.7","25.77","231.93","0","calca-feminina-boot-cut-paty"
"0012506101294","4352","2025-06-29 10:18:11-03","1","8","Entregue","273.32","4352","698","Calça Feminina Boot Cut Amazona","Calça Feminina Boot Cut Amazona","1892","3612","189238","38","8","Calça","1","287.7","14.38","273.32","0","calca-feminina-boot-cut-amazona"
