"itemName","itemId","itemCategory","itemsViewed","itemsAddedToCart","itemsPurchased","itemRevenue"
"Blusa Amarração Feminina Alicia","2225","Lançamentos","112","2","0","0"
"Vestido Feminino Taís","2052","Outlet","111","0","0","0"
"Jaqueta Feminina Maxi Valentina","2301","Mais Vendidos","109","4","0","0"
"Camisete Feminina Cabana","2262","Lançamentos","108","0","0","0"
"Calça Skinny Feminina Carrossel","1151","Feminino","107","0","0","0"
"Vestido Feminino Victória","2046","Outlet","106","5","0","0"
"Camisete Pegasus","1774","Outlet","105","3","0","0"
"Saia Longa Feminina Sandra","2045","Feminino","104","2","0","0"
"Blusa Feminina Neblina","1127","Feminino","103","6","0","0"
"Vestido Feminino Amanda","1833","Outlet","103","1","0","0"
"Regata Feminina Amanhecer","1580","Outlet","102","7","0","0"
"T-Shirt Feminina Bridão Talita","2244","Lançamentos","102","5","0","0"
"Body Feminino Zoe","2142","Lançamentos","100","3","0","0"
"Blusa Feminina Simone","1871","Outlet","98","1","0","0"
"Body Feminino Grazi","2256","Lançamentos","97","6","0","0"
"Camisete Feminina Roseli","1980","Lançamentos","97","1","0","0"
"Cropped Feminino Marina","2077","Feminino","96","4","0","0"
"Colete Fronteira","1721MARROM","Outlet","95","0","0","0"
"T-Shirt Feminina Liz","2161","Lançamentos","95","6","0","0"
"Vestido Feminino Linho Jaque","1948","Outlet","94","1","0","0"
"Vestido Adriane","1834","Outlet","92","1","0","0"
"Calça Feminina Xadrez Joana","2035","Feminino","90","0","0","0"
"Cropped Feminino Texas","1706","Verão 2024","90","2","0","0"
"Regata Feminina Modeladora Realeza","1941","Feminino","90","2","0","0"
"Vestido Feminino Miriam","2037","Outlet","90","2","0","0"
"Blusa Feminina Babado Alessandra","2192","Lançamentos","87","1","0","0"
"Vestido Feminino Midi Roberta","1919","Outlet","85","0","0","0"
"Calça Skinny Feminina Pampa","1903","Feminino","84","1","0","0"
"T-Shirt Feminina Márcia","2234","Lançamentos","84","6","0","0"
"Vestido Feminino Manuela","2042","Outlet","84","1","0","0"
"Vestido Feminino Marina","2076","Feminino","81","3","0","0"
"Blusa Courino Cabana Off White","2095","Lançamentos","79","0","0","0"
"Body Feminino Marina","2118","Lançamentos","79","4","0","0"
"Cropped Feminino Zoe","2143","Lançamentos","79","0","0","0"
"Kimono Feminino Romantic","1677","Outlet","79","1","0","0"
