"searchTerm","eventCount","totalUsers"
"2227","2","2"
"2237","2","2"
"2244","2","2"
"2245","2","2"
"2247","2","2"
"2288","2","2"
"2289","2","1"
"2295","2","1"
"2296","2","1"
"Ana","2","1"
"BABADO ","2","1"
"BLUSA","2","2"
"BLUSA ","2","1"
"BODY","2","1"
"BOMBACHAS","2","1"
"Blusa Melissa","2","2"
"Blusa de frio","2","2"
"Blusa feminina","2","1"
"Blusa sem manga ","2","1"
"Botas ","2","1"
"Botina","2","1"
"CAVALGADA ","2","2"
"COLETE","2","1"
"CORSEL","2","1"
"CROPPED","2","2"
"Cabana","2","2"
"Calca flare","2","1"
"Calca isling","2","1"
"Calça boot cut","2","2"
"Calça montaria","2","2"
"Calça vermelha","2","1"
"Calças jeans","2","2"
"Camuseti","2","1"
"Casaco soft","2","2"
"Chamise bridao","2","1"
"Chemise ","2","1"
"Choker","2","1"
"Cinto feminino ","2","2"
"Colete franja","2","1"
"Colete linho","2","1"
"Conjunto","2","1"
"Conjunto bombacha e colete","2","1"
"Couro","2","2"
"Croped","2","1"
"EMANUELY","2","1"
"Flace","2","1"
"Flees","2","1"
"Foste","2","1"
"GATEADO","2","2"
"Grazi","2","2"
"JAQUETA","2","2"
"JAQUETA ","2","1"
"Jaqueta jeans","2","2"
"Jaqueta jeans ","2","2"
"Joana ","2","1"
"LUANA","2","1"
"Lenco","2","1"
"Linho ","2","1"
"MARINA","2","2"
"MONTARIA","2","2"
"MONTARIA ","2","1"
"Marina","2","1"
"Modeladora ","2","2"
"Monica","2","1"
"Nubia","2","1"
"ONIX","2","2"
"PAMPA","2","1"
"POTROS","2","1"
"PRIMEIRA10","2","2"
"Poncho","2","2"
"Pulseira","2","1"
"Pulseira ","2","1"
"REBECA","2","1"
"REGATA ","2","2"
"RODEIO ","2","2"
"ROSE","2","2"
"RUANA","2","1"
"Regatas","2","2"
"Rodeio","2","1"
"Rua a","2","1"
"SOBRE","2","1"
"SOFT","2","2"
"Salmão","2","1"
"Sandra","2","1"
"Short","2","2"
"Sofy","2","1"
"Suede","2","1"
"T-shirt ","2","1"
"Tule","2","1"
"Vestido longo ","2","1"
"Vestido longo cavalos chic ","2","1"
"WIDE","2","2"
"Zoe","2","2"
"andreza","2","2"
"basic","2","1"
"blusa courino","2","1"
"blusa realeza","2","1"
"body nubia","2","1"
"botar cut","2","1"
"bridao ","2","2"
"calça jeans ","2","2"
"camila ","2","1"
"camisere","2","1"
"camiseta","2","1"
"chamise","2","1"
"choker","2","1"
"cintos","2","1"
"conto","2","2"
"ignes","2","1"
"jeans","2","1"
"lara ","2","1"
"lia","2","2"
"linho","2","1"
"luna","2","2"
"luz","2","2"
"maya","2","2"
"modeladora zoe","2","1"
"morgam","2","2"
"morgan","2","2"
"mustang","2","2"
"núbia","2","2"
"over","2","1"
"paty","2","2"
"regata modeladora","2","2"
"roberta","2","2"
"saia sandra","2","2"
"skinny","2","2"
"tropilha","2","1"
"tropilha ","2","1"
"valentina","2","1"
"vanessa","2","2"
"wide leg","2","1"
"óculos ","2","2"
",","1","1"
"1029","1","1"
"1084","1","1"
"1086","1","1"
"1568","1","1"
"1673","1","1"
"1684","1","1"
"1712","1","1"
"1742","1","1"
"1750","1","1"
"1797","1","1"
"1800","1","1"
"1836","1","1"
"1842","1","1"
"1853","1","1"
"1865","1","1"
"18880","1","1"
"1890","1","1"
"1899","1","1"
"1904","1","1"
"1922","1","1"
"1941","1","1"
"1968U","1","1"
"1972","1","1"
"1972U","1","1"
"1974","1","1"
"1981","1","1"
"1989","1","1"
"2025","1","1"
"2038","1","1"
"20484","1","1"
"2049","1","1"
"2051","1","1"
"2053","1","1"
"2077","1","1"
"2078","1","1"
"2084","1","1"
"2104","1","1"
"2110","1","1"
"2114","1","1"
"2116","1","1"
"212","1","1"
"2133","1","1"
"2135","1","1"
"2138","1","1"
"2141","1","1"
"2141-p","1","1"
"2145","1","1"
"214936","1","1"
"2152","1","1"
"2155U","1","1"
"2185","1","1"
"2191","1","1"
"2192","1","1"
"2195","1","1"
"2207","1","1"
"2208","1","1"
"2225","1","1"
"2230","1","1"
"2231","1","1"
"2232","1","1"
"224","1","1"
"2248","1","1"
"225","1","1"
"2257","1","1"
"2267","1","1"
"228","1","1"
"2287","1","1"
"2292","1","1"
"2294","1","1"
"2297","1","1"
"2298","1","1"
"2300","1","1"
"3908","1","1"
"3978","1","1"
"79.9","1","1"
"ADRIANE","1","1"
"ALICE","1","1"
"ALINE","1","1"
"ANA ","1","1"
"AYLA","1","1"
"Alice","1","1"
"Alpargata ","1","1"
"Amarração ","1","1"
"BIA","1","1"
"BIA ","1","1"
"BOMBACHA ","1","1"
"BOOT","1","1"
"BOOT CUT ","1","1"
"BORY REALEAZE","1","1"
"BRENDA","1","1"
"Babado","1","1"
"Bandana","1","1"
"Biquíni ","1","1"
"Blisa courino","1","1"
"Blusa Monica ","1","1"
"Blusa bock","1","1"
"Blusa brenda","1","1"
"Blusa de courino","1","1"
"Blusa manga comprida ","1","1"
"Blusa mãe e filha ","1","1"
"Blusa polominos","1","1"
"Blusa soft","1","1"
"Blusa uv","1","1"
"Body femenino","1","1"
"Bolsas","1","1"
"Bomba","1","1"
"Bombacha Feminina","1","1"
"Bombacha fem","1","1"
"Bomcachas","1","1"
"Bone","1","1"
"Boné ","1","1"
"Boocut","1","1"
"Boot","1","1"
"Boot cut","1","1"
"Bootcut","1","1"
"Boy cut paty","1","1"
"Bpdy","1","1"
"CABAN","1","1"
"CAMISA FEMININA MANGA LONGA","1","1"
"CAMISET ZOE","1","1"
"CAMISETE CABANA","1","1"
"CAMISETE LUCIA","1","1"
"CAMISETE ZOE","1","1"
"CAMISOLA ","1","1"
"CHAMEL","1","1"
"CHLOE","1","1"
"COLETE ","1","1"
"CORCEL","1","1"
"COWGIL","1","1"
"CRISTINA","1","1"
"Calca jeans feminina ","1","1"
"Calca masculina ","1","1"
"Calca montaria","1","1"
"Calca os","1","1"
"Calca wireless lage","1","1"
"Calcas","1","1"
"Calça  feminina ","1","1"
"Calça Cabana","1","1"
"Calça Jeans ","1","1"
"Calça Paty","1","1"
"Calça bordada","1","1"
"Calça com reco na canela ","1","1"
"Calça corcel","1","1"
"Calça courino cabana","1","1"
"Calça flor","1","1"
"Calça marrom ","1","1"
"Calça pezinho ","1","1"
"Calça wide","1","1"
"Calça wide leg ","1","1"
"Calça wide ler","1","1"
"Camisa branca","1","1"
"Camisa manga longa","1","1"
"Camisa preta","1","1"
"Camisa preta ","1","1"
"Camisa vaca","1","1"
"Camiseta estampada","1","1"
"Camisete ","1","1"
"Camisola ","1","1"
"Cargo","1","1"
"Casaco Feminino Soft","1","1"
"Chaminé","1","1"
"Chapeu","1","1"
"Chapéu","1","1"
"Chapéu ","1","1"
"Cheques","1","1"
"Chinelo ","1","1"
"Choker ","1","1"
"Chover","1","1"
"Cinto feminino","1","1"
"Cobertor","1","1"
"Colar bridão","1","1"
"Colete alfaiataria ","1","1"
"Colete couro","1","1"
"Colete feminino ","1","1"
"Colete la frontera","1","1"
"Conjunto saia e blusa ","1","1"
"Courino","1","1"
"Croped ","1","1"
"Culote ","1","1"
"Cute","1","1"
"DANIELE","1","1"
"DANUBA","1","1"
"DELAVE","1","1"
"DRIDAO","1","1"
"EL PASO","1","1"
"EMANUELLY","1","1"
"Eduarda","1","1"
"Eliane","1","1"
"Emanuela","1","1"
"Envelope","1","1"
"Equestrian","1","1"
"FRISIO","1","1"
"Flaace","1","1"
"Flacee","1","1"
"Flece","1","1"
"Flece ","1","1"
"Flecte","1","1"
"Flee","1","1"
"Fleeece","1","1"
"Flesi","1","1"
"Flex e","1","1"
"Florecer","1","1"
"GEOVANNA","1","1"
"GRAZI","1","1"
"Galocha","1","1"
"Glacê","1","1"
"Glacê ","1","1"
"Horse","1","1"
"INES","1","1"
"ISIS ","1","1"
"Infantil","1","1"
"JULIA","1","1"
"Jaq","1","1"
"Jaqueta cropped","1","1"
"Jaqueta cropped nevada ","1","1"
"Jaqueta croppes","1","1"
"Jaqueta infantil ","1","1"
"Jaqurta jeans","1","1"
"Jens ","1","1"
"Juli","1","1"
"KIDS","1","1"
"Kids","1","1"
"Kimono ","1","1"
"Legging ","1","1"
"Lemço","1","1"
"Linho calça ","1","1"
"Luna","1","1"
"MANTA ","1","1"
"MANUEL A","1","1"
"MARIA","1","1"
"MODELADORA","1","1"
"MORGAM","1","1"
"Mae é filha","1","1"
"Manga longa","1","1"
"Masculino","1","1"
"Masculino ","1","1"
"Minuty ","1","1"
"Moletom ","1","1"
"Moleton","1","1"
"Montaria","1","1"
"NOBRAZA","1","1"
"NUBIA ","1","1"
"Nobreza","1","1"
"OCULOS","1","1"
"OVER","1","1"
"Onix","1","1"
"Outros modelos","1","1"
"PENELOPE","1","1"
"Pala","1","1"
"Pato","1","1"
"Paty ","1","1"
"Pezinho","1","1"
"Pijama","1","1"
"Plus Size","1","1"
"Polo ","1","1"
"Poncho e pala ","1","1"
"QUERENCIA","1","1"
"REGATA","1","1"
"REGATA AURORA","1","1"
"REGATA REBECA","1","1"
"RELIQUIA","1","1"
"ROBERTA ","1","1"
"Regata cavalo","1","1"
"Regata com bojo","1","1"
"Regata modeladora","1","1"
"Resort","1","1"
"Ruanas","1","1"
"Ruanas estampas de cavalo","1","1"
"SAIA C","1","1"
"SANDRA","1","1"
"SHORTS","1","1"
"SIMONE","1","1"
"SOFTH ","1","1"
"SOPHIA","1","1"
"Saia Marina","1","1"
"Saia Melissa","1","1"
"Saia grazy","1","1"
"Shofia","1","1"
"Shorts","1","1"
"Shorts ","1","1"
"Shorts courino","1","1"
"Shorts jeans","1","1"
"Skiny","1","1"
"Sobretudo","1","1"
"Sof","1","1"
"Soft masculino","1","1"
"Strass","1","1"
"T","1","1"
"T SH","1","1"
"T SHIRT","1","1"
"T short","1","1"
"T-sh","1","1"
"T-shi","1","1"
"TERMICA","1","1"
"TEXAS","1","1"
"TOP ANA ","1","1"
"TROPILHA","1","1"
"Tal mãe tal filha","1","1"
"Top","1","1"
"Tshirt ","1","1"
"Térmica","1","1"
"VALENTE","1","1"
"VALENTINA","1","1"
"VALENTINA ","1","1"
"VESTIDO LIA ","1","1"
"VIC","1","1"
"VICTORIA","1","1"
"Verde","1","1"
"Vestido GG","1","1"
"Vestido Simone","1","1"
"Vestido cabana","1","1"
"Vestido feminino","1","1"
"Vestido infantil ","1","1"
"Vestido luana","1","1"
"Vic","1","1"
"Xadrez","1","1"
"acessórios","1","1"
"alic","1","1"
"aline","1","1"
"allana","1","1"
"alongado","1","1"
"alongado ","1","1"
"amanhecer","1","1"
"amarraao ","1","1"
"amarracao ","1","1"
"amazona ","1","1"
"ana ","1","1"
"babado ","1","1"
"bambacha de linho","1","1"
"basic ","1","1"
"bermuda jeans","1","1"
"bia","1","1"
"bit","1","1"
"bluisa","1","1"
"blusa ","1","1"
"blusa babado","1","1"
"blusa corcel","1","1"
"blusa suzy","1","1"
"blusa vic","1","1"
"body nubia ","1","1"
"body rose","1","1"
"body ter","1","1"
"bombacha feminina","1","1"
"bombacha grazi","1","1"
"botas ","1","1"
"botina","1","1"
"brenda ","1","1"
"bridAO","1","1"
"bubia ","1","1"
"calca jeans","1","1"
"camisa cropped","1","1"
"camisa marshall","1","1"
"camisa tropilha ","1","1"
"camisete ana ","1","1"
"camisete cabana ","1","1"
"camisete luz","1","1"
"camisola ","1","1"
"cargo","1","1"
"carolina","1","1"
"casaco so","1","1"
"casaco soft","1","1"
"cavalgada","1","1"
"cavalgada ","1","1"
"cetim","1","1"
"chapéu","1","1"
"chemise ","1","1"
"chemise cabana","1","1"
"chloe","1","1"
"cobertor","1","1"
"colete valentina","1","1"
"colette","1","1"
"cordel","1","1"
"corsel","1","1"
"corsel ","1","1"
"couro","1","1"
"cristina","1","1"
"cropped ","1","1"
"cwide","1","1"
"dani","1","1"
"diamante","1","1"
"elaine","1","1"
"eliani","1","1"
"emanuelly","1","1"
"gab","1","1"
"gabi ","1","1"
"grazi ","1","1"
"grei","1","1"
"greice","1","1"
"hanna","1","1"
"inverno 26","1","1"
"isis ","1","1"
"ivan","1","1"
"iza","1","1"
"jaqueta cropped","1","1"
"joana ","1","1"
"julia","1","1"
"lais","1","1"
"lenço","1","1"
"liz","1","1"
"liz ","1","1"
"lize","1","1"
"luana","1","1"
"luna ","1","1"
"manta","1","1"
"manuela","1","1"
"marina ","1","1"
"maya ","1","1"
"meio","1","1"
"melissa ","1","1"
"montaria ","1","1"
"morgan ","1","1"
"márcia","1","1"
"máxi","1","1"
"neblima","1","1"
"neblina","1","1"
"neblina ","1","1"
"nevada","1","1"
"nubia ","1","1"
"off","1","1"
"oliva","1","1"
"olívia","1","1"
"onix ","1","1"
"onuix","1","1"
"potrpso","1","1"
"pulawira","1","1"
"quere","1","1"
"querencia","1","1"
"querencia ","1","1"
"rebea","1","1"
"regata aurora","1","1"
"regata modeladora ","1","1"
"regata modeldora","1","1"
"regata nubia ","1","1"
"relíquia","1","1"
"rodeio","1","1"
"rosana ","1","1"
"roseli","1","1"
"saia  whit","1","1"
"serena","1","1"
"shirt ","1","1"
"short","1","1"
"simone","1","1"
"sobretudo","1","1"
"sobretudo ","1","1"
"sofr","1","1"
"spur","1","1"
"stirrup","1","1"
"suzy","1","1"
"t shir","1","1"
"t shirt alice ","1","1"
"t-shirt ","1","1"
"t-shit","1","1"
"talita ","1","1"
"top ana","1","1"
"tshirt","1","1"
"verstidos","1","1"
"vestido c","1","1"
"vestido courino","1","1"
"vestido simone","1","1"
"vestido so","1","1"
"vestudo","1","1"
"vic ","1","1"
"wide ","1","1"
"xadrez","1","1"
"zoe ","1","1"
"ÓCULOS","1","1"
"Óculos feminino","1","1"
